target_lab,target_weights
68.2310882059084;32.158964106636766;63.981660279393594,0.23;0.38;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86.508304680116;-0.35082159524879586;80.93162836022165,0.06;0.1;0.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62.50484769739184;36.73654408027094;63.59066698778283,0.54;0.35;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58.67786067929242;44.035581586004014;60.726333563662614,0.5;0.4;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72.02321366778916;24.569299959181112;68.05997555176052,0.27;0.26;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74.82249031087956;10.941001144831318;74.7407982190783,0.49;0.1;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75.55163022220464;1.3375984449200407;76.8556999594392,0.67;0.04;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.58722734191393;31.267435448976645;65.68601852377749,0.38;0.3;0.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83.61537292077931;-5.480832015527182;82.42207047337791,0.35;0.09;0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65.73071660158307;38.46621350028157;59.79294867953197,0.15;0.49;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
