targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
93.05467216824698;-13.52443756677374;88.24413337218287,93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0020100796445271163;0.002986003426133062;0.9797086201792663;0.0015453092138673808;0.0068654667887401;0.006270085516756207;0.004553427301097937;0.0010234160339295073;0.002359035862621434;0.0014863107355694372;0.003111253903070161,CMAESOptimizerImpl,7921,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
79.13799151824739;14.950410904616406;72.05763463369543,77.67127341409154;13.598175856270267;70.1317765812724,0.0;0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.89894696712274;0.5169625932770552;0.9881620516404167;0.0020622422757823906;0.009068187272581511;0.015569790033420485;0.006827667383556214;0.6710750328330707;0.00907458992814718;0.026201149815302333;3.1328635258837806E-4,CMAESOptimizerImpl,5556,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.06005955732883;37.59196679892424;58.51013582885819,67.66305129018774;36.44541148781383;57.5456286612979,0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.029661116769569285;0.8368337464215105;0.8667519749337093;0.00818185042484054;0.5541184989510507;0.021074542997302055;0.9388060057059835;0.7626375554813966;0.005557457311169078;0.018305206037849204;0.02105044399598712,CMAESOptimizerImpl,4456,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.4947111683784;52.587344471343776;49.43964163323572,59.27708206787301;49.635749558629705;46.444698633174475,0.0;0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.019813012800894148;0.988869679506362;0.0;0.011013139302233707;0.38453415675470115;0.021783605930210857;0.43400281665992546;0.42568813294428476;0.022925215233513867;0.018505582679647407;0.011252410800120726,CMAESOptimizerImpl,4951,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,52.3103098868135;57.279182614286825;43.54945200352045,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.006653267989189486;0.8370831878102769;0.15860943020727086;0.0;0.336531818756278;0.0;0.0;0.0030400377499429634;0.0042376952198564305;0.009743337184011618;0.0,CMAESOptimizerImpl,5776,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
86.97432738230724;-8.401653242143258;84.52824204586972,86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3199739720889775;0.005157025128937611;0.9598629801929175;0.002345270070805786;0.0017282787664385374;0.007667426823952259;0.003302165840444111;0.0077163793183001005;0.007996394977924976;6.732512653327984E-5;0.010455470179402068,CMAESOptimizerImpl,7811,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.16779070213566;21.941709478349335;69.03926826894079,73.16779070213566;21.941709478349335;69.03926826894079,0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9882156470753594;0.5683755131309204;0.5933712668859922;0.011585060035356084;0.017500663787645462;0.022117197231172593;0.7442611779300858;0.6818814682446808;0.008340327067836235;0.0039176928152188034;0.0016206286452752853,CMAESOptimizerImpl,4676,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
63.30822412973451;41.243126513819064;59.79075291772148,62.941896588729094;41.243843799270095;60.95191176052517,0.25;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7435939033943774;0.7377728914829079;0.9483323604475233;0.011905845739551077;0.5674363435111314;0.037037738523294464;0.6900069964041634;0.002673276999089069;0.017317495531013048;0.011571298069719366;0.016450542369867635,CMAESOptimizerImpl,6491,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.92893027698692;55.896449419037545;53.015857808431136,54.49096258072778;58.43115663197301;55.387945232883716,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.004015138671162002;0.9757292404760767;0.004573985428620419;0.012621303561534002;0.18169940389649802;0.00677300705775078;0.4550217787474422;0.008370666176617525;0.0018125749248018943;0.006163042855884892;0.008836359823736862,CMAESOptimizerImpl,7646,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
80.59597981775288;-2.559264475533063;80.33186448246352,80.59597981775288;-2.559264475533063;80.33186448246352,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8802643853455049;0.01072790172165354;0.877154991762717;0.005469085918750975;0.012809358164027437;9.406168529348677E-5;0.015768952552183628;0.0012381230318735867;0.010991981441319514;0.004777267316269264;0.01824630059371106,CMAESOptimizerImpl,5281,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
