targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
93.05467216824698;-13.52443756677374;88.24413337218287,61.31911705185219;-7.541921921578599;43.190551559142,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.41058807605797665;0.015575123512802935;0.9960876318555979;0.39346731132767787;0.3989617530213916;0.20447220009933995;0.3196261346462052;0.6754118252070832;0.3035251322180497;0.2807597687975563;0.025110308307121243,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
81.62310558937283;10.081100214127892;75.19988838724187,53.70755361635554;9.019199988093195;43.52143163249206,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.030244925024026908;0.43662914975734907;0.5415306826855145;0.04349320471230769;0.4313394201131558;0.39325917716053777;0.9971802812588946;0.6224597345674565;0.040830583682006476;0.43698578094955326;0.4282844852084045,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.29006234709458;29.461343838733335;63.55135442928494,53.698207761892434;8.959593092927543;43.987088767935234,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.49651075884112816;0.862287177177324;0.6512642372579497;0.38992068905973276;0.42348188065515274;0.022804968498658023;0.9488057835924693;0.6578021359417813;0.008789879587062548;0.4803271425558474;0.26846398173525465,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
64.43650694104466;44.460970393985335;54.31191738837807,63.90940929578758;39.117516436056874;48.014627958775215,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5862799207628742;0.9747451259701293;0.6277308966109509;0.015149972254565542;0.7054224238239738;0.01853496593247826;0.03162389999201787;0.6398652759191358;0.024666051740159355;0.023862945472272995;0.0055982828218904485,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.9940468732447;54.93936659280491;48.27995756519362,47.927325503852124;23.439028685165177;33.98387697105849,0.0;0.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.34561169888327536;0.9979789804927577;0.03383113927674459;0.5221454536025487;0.9961611800039621;0.5163533738519681;0.7734540738191773;0.5353209228105104;0.03559615500940987;0.047647368950499744;0.4414420633416218,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,48.609877706038716;39.39658069952118;27.010068275761114,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.001794754079624993;0.9949195533475969;0.0324701317967184;0.3760600920871532;0.9427990434167007;0.03538680503501418;0.5499467000369139;0.7162299102801469;0.004717086090205876;0.41252640639579496;0.04046835605151678,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
88.17517532395253;-9.537601007691077;85.37905540849913,72.1758085033323;6.586660737008698;62.853977230676115,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.778971870893084;0.3921019396232689;0.9938333493751449;0.22592894478286046;0.039345949788686795;0.3833819872012937;0.3835543454408844;0.7616941652587738;0.008765064817004092;0.03783172302080128;0.010259300039813894,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
76.90773878048108;14.875170676298733;72.60404720325938,59.646112016564814;-10.66348572771042;51.947008920456895,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.36259850631457874;0.2992425368547631;0.8057384400359332;0.0011871169115909219;0.034265415315662795;0.02789481712240789;0.9763352642892593;0.3342643831209867;0.28095608109268055;0.029214117074431695;0.2997028377609819,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.02084698019831;32.706288439476424;63.429326532701566,62.01487867146544;20.73570929077806;53.27097178451987,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9055187355609866;0.9001658005659258;0.9375860185829491;0.4076337525712224;0.3486637966476435;0.3880679006772645;0.3633150152388966;0.47559378617667647;0.03661693633896265;0.041936333423457005;0.010081158240418185,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
60.69129901972039;47.31944952347128;55.67924257026049,46.162485424654356;8.664664720067329;27.16061158685299,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03709641011249779;0.7035482512161664;0.010869157786892264;0.41905198430143753;0.6139933232870137;0.7475766626457223;0.998532905482711;0.7156003438243959;0.44296611885610476;0.046396329691799076;0.5188682412120776,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
