targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
52.370344868584624;61.09238608164025;44.41743162254441,43.5775455017085;14.224964735049916;31.897723288370493,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4856356542997831;0.9992261367348896;0.28235260986681027;0.0499729943586297;0.9472388812473825;0.0341136828630818;0.5108447028757955;0.4392385606425364;0.4223226857682022;0.43107183262590154;0.4401680265600212,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.909728260333964;46.849916506627565;59.505940184520455,54.30594657023833;18.63271777658404;47.52798600112163,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5388489819016034;0.9980968532544282;0.7420959537382561;0.5201251997228095;0.6142368834259071;0.6210911163914982;0.9839782849074897;0.6021018978124179;0.05229129051068877;0.4006728155391703;0.02434091448177995,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,59.52779624490846;-1.6737676906932175;48.84390500000387,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8051202902718229;0.01930636917194651;0.9979218478111415;0.5413558952497313;0.8164380553556689;0.026599049280215174;0.7792030800863307;0.8017530661180674;0.2776627850648611;0.27681690216659305;0.018952489447191537,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
93.05467216824698;-13.52443756677374;88.24413337218287,60.75832246912158;-27.391845516407443;40.82039400168338,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4722528761724736;2.0695454658620612E-4;0.9841906354434226;0.3749233763266978;0.0016589348175720176;0.2009005887138352;0.4409793075278631;0.8318783728888692;0.4164959540700878;0.4352497485763285;0.35391672788716555,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
80.59597981775288;-2.559264475533063;80.33186448246352,67.56979620710727;-7.27040395981049;55.924496715259785,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9501569561936168;0.3139940418274878;0.9977059865599619;0.4792777520651886;0.030622910841066497;0.5117473917116221;0.4734786198349293;0.8902461390191818;0.04256640398909546;0.026350150976025014;0.2619220221852179,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,65.77678157325218;13.151981888489983;55.79296769415921,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9994061661892392;0.7110365341212426;0.9620523940826328;0.38281302296635356;0.2074194689751648;0.01799981887183491;0.0030116461272564976;0.4553576072826148;0.001124778523546984;9.131095460440718E-4;0.011988318498039942,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,34.7732333537659;2.8356070113742247;-21.622794316151484,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.026507536993779626;0.0053098707492685495;0.3596489371555933;0.787143707739241;0.6621585820012931;0.04192573885040292;0.3538131999077946;0.5462056656503906;0.9317771371303005;0.41246463528974464;0.7940177734677716,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
47.01152815523787;-18.762749842305247;28.507176947058845,49.33731020976904;-6.45112275154569;33.48874568146043,0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9149029957014114;0.626898545476814;0.5995709519167357;0.32330105286352256;0.06530760324746535;0.6343745466827019;0.6769277700557504;0.8676761991454761;0.041345585987532935;0.9999749261097164;0.8450251625023304,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.15384906852356;7.790988813174193;59.43610229664939,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9979834128986188;0.7472560738874681;0.9840366702418637;0.5326774312307516;0.03878635283973422;0.03392205210173517;0.6910657107341917;0.6773292990954438;0.015476266127643076;0.030642979706204863;0.02337844923968994,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
40.362733626571746;54.79863856636899;33.349081115326264,36.622756826222115;31.49013931197911;25.366924028323435,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3074089559091566;0.9952888535300675;1.1344811439383679E-4;0.3680775945514769;0.9499265925581178;0.36792251768641726;0.008333105993290268;0.012581180487508038;0.008459990036594025;0.2276430430079549;0.35151878531343245,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
50.790357605472934;46.30375329018277;53.655896721561916,49.16987262034159;20.61706646984679;39.14635857620913,0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0,0.033830560851432864;0.9851357441881304;0.5665847270272559;0.22226000848544283;0.9981836364676238;0.31913443966957156;0.9865922787830645;0.6513869389967331;0.36541824776316545;0.5722439216394631;0.013151292935317234,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,56.32842450030746;-5.421656882496406;41.140804158858025,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9923266051977083;0.841910823654226;0.8886275477721983;0.906206760367619;0.056843729528899725;0.9660489296312814;0.05709955590953616;0.8586040464905259;0.5632538158210195;0.3068571320540805;0.03760310447784365,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
45.83013734686718;20.028389728642402;46.87686885739514,51.91911320115173;8.169707993951448;44.70199972880911,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0,0.8855119937876049;0.3653182016758754;0.5883272668226657;0.798704038846761;0.8029565032137835;0.9087267279929464;0.9383474290465195;0.4102241073406887;0.004788791943761765;0.0011921988996320852;0.40408862995746647,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.89458796140141;16.112618041368766;57.254529852189826,55.42739612787328;14.000928817586578;48.0952766603022,0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0,0.0038618544555595285;0.04437127274147888;0.8249679486537463;0.0010952780543374589;0.9979286336227677;0.9086968716475486;0.9899154974150255;0.5124062845702007;0.5128314271019925;0.04079730383340063;0.00516984883683533,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
