targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
93.05467216824698;-13.52443756677374;88.24413337218287,78.20920028553107;-11.744217442119343;64.62679965520627,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.2861232578094591;0.025435401945624;0.9999078536679622;0.024418608907781036;0.02539718614121495;0.2553707552352108;0.005860788673044266;0.6538652980167938;0.025583002312897698;0.2581354755205954;0.022223275362225677,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
81.62310558937283;10.081100214127892;75.19988838724187,71.3431943359612;19.56576556285672;64.22618329723167,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.44470875017351574;0.03488655537316393;0.5370826183475533;0.01331841034567035;0.3286949161785797;0.34447445449251163;0.9991063007942733;0.7408893050204168;0.009051516199792688;0.007927562711448255;0.03481826437414533,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.29006234709458;29.461343838733335;63.55135442928494,72.29006234709458;29.461343838733335;63.55135442928494,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,1.4286884617882462E-4;0.9258179486158366;0.6858131024803156;0.013834721700595813;0.023265109723431807;0.02759601861119998;0.6331263748842406;0.6173727720818944;0.02652042116502773;0.019467727109654977;0.015923031017954004,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
64.43650694104466;44.460970393985335;54.31191738837807,62.15657488630657;40.437109714295374;51.85381847172014,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.037348379928731856;0.9476858315086724;0.501278133239713;0.028750490674675222;0.9675732826599787;0.3690962174750006;0.9957682680223346;0.7869876424169552;0.04706142325967819;0.04641473460793236;0.00473903852819511,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.9940468732447;54.93936659280491;48.27995756519362,43.57329356453925;19.85907846025714;34.337411788149986,0.0;0.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.46122240531695685;0.9794702858808754;0.0473796707387496;0.01497469530577828;0.7896606118243078;0.2887354333892654;0.6330721607128418;0.5095200806800197;0.3024348134759477;0.480705532061146;0.3224144743800709,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,38.12707337576688;31.370242113814008;20.663248242341226,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.015890692499248626;0.994895070054157;0.3996701971425848;0.32908984161061905;0.9394540055327807;0.026440311457738182;0.0022460927025674945;5.476628937104623E-4;0.025051267408803743;0.32253455120445507;0.3266017774091917,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
88.17517532395253;-9.537601007691077;85.37905540849913,64.14485488959528;0.3779017670170748;44.508321356146695,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.018691320166291766;0.018244277867868836;0.9972775307825057;0.3715543553076782;0.3732448113467816;0.3655198095024327;0.3943360203095623;0.7805235022710266;0.03100506849093086;0.37148135639628715;0.017617745710239077,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
76.90773878048108;14.875170676298733;72.60404720325938,76.90773878048108;14.875170676298733;72.60404720325938,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9941835838166895;0.40979720169686246;0.9322094124256208;0.017092674226010213;0.002414288987000024;0.02106509049674692;0.6024763399426404;0.7440051620615856;0.01740896830205382;0.025781109962051567;0.024240392756407284,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.02084698019831;32.706288439476424;63.429326532701566,58.971995284718844;15.384575476286743;51.287974976124715,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9957704869034941;0.991078346479066;0.46487531634765156;0.05521001184453719;0.40020397665910123;0.5198803857751123;0.9038848185028547;0.7986968844498301;0.031004348824166635;0.021850834688843745;0.4865356000526008,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
60.69129901972039;47.31944952347128;55.67924257026049,49.847975862577925;21.59928843620168;37.939396738498274,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6296095637983842;0.8311837683738031;0.04046261370410011;0.3963750517365236;0.962754336094731;0.009161272472482074;0.9911038759044126;0.6077300519610195;0.46624957784499865;0.019292968326277297;0.030702077970527875,MoeaNSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
