targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
93.05467216824698;-13.52443756677374;88.24413337218287,54.92307274644361;-16.543428209514044;36.48068357426239,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6277359719585067;0.36270581003973623;0.9999470959000565;0.534020627638853;0.0424031836140929;0.5942899490006276;0.4979057455498137;0.8450496780998645;0.5888254572094082;0.5351290474471209;0.3508767854280356,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
81.62310558937283;10.081100214127892;75.19988838724187,73.70150603461634;19.93958847153904;64.88752389840583,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9990711420030872;0.41590597558433257;0.9958247292421104;0.015677341107965446;0.3868236022336674;0.006326737935439595;0.27088706391349854;0.8804252237269251;0.027984445954793925;0.013918333647308823;0.033354194425240076,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.29006234709458;29.461343838733335;63.55135442928494,46.873736686312334;4.4469684103381475;34.00785642790374,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.04682391351415368;0.9149591395586243;0.6616041283138598;0.281236918808909;0.5275515779413733;0.5314927215296051;0.6399437465765352;0.6177236683261195;0.2813789602165706;0.5478184198136792;0.4306002897563666,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
64.43650694104466;44.460970393985335;54.31191738837807,56.77787370469717;21.904591160906538;43.89900153170127,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5160278209859152;0.6977032916124748;0.5752570153935133;0.45718383370141685;0.9642583479936795;0.01560435462674881;0.993765337937704;0.7014955944947673;0.2544811655567315;0.03431607183584317;0.0032453981068789033,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.9940468732447;54.93936659280491;48.27995756519362,42.954804647732125;13.528031485452452;30.519205586347475,0.0;0.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.40391378993006716;0.9680911532103889;0.051193927103008754;0.044772489979836336;0.8452813994611396;0.4628700041646782;0.642089466518249;0.5226928710027943;0.4385935830804862;0.3129491580063645;0.521104672717242,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,50.38853958922128;24.887227044505632;33.90662161131475,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.19934083398477226;0.6949680138288823;0.407612529387627;0.32549425400333026;0.9395862409714453;0.21322546245588006;0.39012801556196597;0.38418660792424436;0.32047006821559004;0.012999237941049716;0.019840035648055657,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
88.17517532395253;-9.537601007691077;85.37905540849913,55.3520958340292;-16.62349593702306;41.49045407216605,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8515917110857609;0.03102056510103219;0.9997275299311702;0.04416099587410867;0.5226348636019583;0.03150922564332374;0.531713325157879;0.8411961881652233;0.4966660888341398;0.5147831156677913;0.5208906623815484,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
76.90773878048108;14.875170676298733;72.60404720325938,61.91244750396007;-18.91946553385543;50.77061141426144,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03038878551839158;0.03325862097128185;0.7395526017122382;0.014720728859725918;0.00702137393323124;0.7663308384905606;0.9833154684575292;0.7290991081897296;0.3915627044579784;0.03694447978030274;0.36230364524666747,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.02084698019831;32.706288439476424;63.429326532701566,61.580198031768646;20.41548413481098;57.30753208492424,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9561283389350838;0.9092406832795296;0.44700039216401316;0.014403047029868471;0.005990424183412867;0.3998248507613012;0.7694505679330869;0.7047454805157957;0.017606576851900372;0.40358850814534764;0.04282190196274717,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
60.69129901972039;47.31944952347128;55.67924257026049,55.92298329589855;15.869358566936775;47.8550549333997,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.29698723026230095;4.711294211795452E-4;0.5725891384502919;0.20359194332836927;0.8900383095698785;0.009410766341364835;0.596162357809636;0.28987115183321194;0.01524095789328553;0.02395536092919747;0.19186939811477222,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
