target_lab,target_weights
65.82209371056075;31.706985217776428;65.54344603152337,0.46;0.32;0.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68.86296480846403;30.489923152347497;65.92484157727667,0.34;0.3;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.34386860982127;51.9108713801833;56.39387288779885,0.35;0.56;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70.2480866359521;24.933350315164027;68.49933914047449,0.39;0.24;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61.12468389425992;43.52067494469547;59.59683522929392,0.35;0.5;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.79220583599576;49.697198784982355;54.386132007495455,0.16;0.64;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73.71497843607244;16.928088913573337;72.36881772735994,0.4;0.16;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64706931246049;38.60572797403749;58.10420183589211,0.02;0.5;0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.01;0.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72.07009420970098;29.98043138154044;63.34308544380225,0.01;0.4;0.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
