target_lab,target_weights
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42.68894436593283;6.530524784000347;-31.695957657520957,0.0;0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.65876440622745;-22.175556768173287;12.774290949122724,0.0;0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69.33389705757116;-31.94297303314547;45.34980341901613,0.0;0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81.20231678266056;-29.104540463639918;69.14616329269566,0.0;0.0;0.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30.67955912774731;42.88625081617617;-56.33546061218031,0.0;0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43.50046534208908;7.578368785621736;-6.132043250907637,0.0;0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.20758535189567;-5.123507672021576;27.787515031379208,0.0;0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68.82880824060435;-2.9160023182022154;53.70468100210242,0.0;0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81.62310558937283;10.081100214127892;75.19988838724187,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33.09729702427413;36.110590882681315;-27.631760509014658,0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46.458999526047116;18.336873092876015;14.92450729262763,0.0;0.4;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.054122999686314;16.149316499596665;41.36287600946106,0.0;0.4;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72.29006234709458;29.461343838733335;63.55135442928494,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.204638740703324;38.02473236036358;0.7654953877936577,0.0;0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50.94616309121098;33.81842436305277;32.23242130777856,0.0;0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64.43650694104466;44.460970393985335;54.31191738837807,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.734613059764115;46.51376988468686;25.559055889637072,0.0;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36.76348157944843;7.0579702288198485;-27.127904638768918,0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50.556323620989104;-19.797040182187754;15.092433744062872,0.2;0.0;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
